NTA_large,NTA_small,Shape_Leng,Shape_Area
Morrisania/Belmont,park-cemetery-etc-Bronx,,
North Crown Heights/Prospect Heights,park-cemetery-etc-Brooklyn,,
East Harlem,park-cemetery-etc-Manhattan,,
Sunnyside/Woodside,park-cemetery-etc-Queens,,
Soundview/Parkchester,Parkchester,12411.78821,9184677.038
Throgs Neck/Co-op City,Pelham Bay-Country Club-City Island,,
Pelham Parkway,Pelham Parkway,25823.03689,23032576.14
Hillcrest/Fresh Meadows,Pomonok-Flushing Heights-Hillcrest,30731.59203,38835956.59
North Shore,Port Richmond,39041.54631,36422143.64
North Crown Heights/Prospect Heights,Prospect Heights,15073.77352,10230580.6
North Crown Heights/Prospect Heights,Prospect Lefferts Gardens-Wingate,29562.44269,31638973.18
Queens Village,Queens Village,41782.40111,69533432.82
Flushing/Whitestone,Queensboro Hill,30549.05316,26561788.17
Sunnyside/Woodside,Queensbridge-Ravenswood-Long Island City,27067.65287,23317032.76
Rego Park/Forest Hills,Rego Park,26675.10873,19941713.5
Ozone Park/Woodhaven,Richmond Hill,33792.46553,50978396.17
Middle Village/Ridgewood,Ridgewood,40608.5132,50495176.29
Queens Village,Rosedale,,
South Shore,Rossville-Woodrow,33247.2589,64963357.85
Flatlands/Canarsie,Rugby-Remsen Village,30957.8543,32706946.28
Throgs Neck/Co-op City,Schuylerville-Throgs Neck-Edgewater Park,,
Coney Island,Seagate-Coney Island,51874.95553,38782030.92
Sheepshead Bay/Gravesend,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,,
Greenwich Village/Financial District,SoHo-TriBeCa-Civic Center-Little Italy,26855.03233,25032687.72
Soundview/Parkchester,Soundview-Bruckner,19756.55965,16253358.29
Soundview/Parkchester,Soundview-Castle Hill-Clason Point-Harding Park,,
Jamaica,South Jamaica,32122.55236,39971928.94
South Ozone Park/Howard Beach,South Ozone Park,36708.16929,82461393.53
Jamaica,Springfield Gardens North,25437.06187,28432652.74
Queens Village,Springfield Gardens South-Brookville,45322.12309,43288489.65
Riverdale/Kingsbridge,Spuyten Duyvil-Kingsbridge,27990.7884,23214112.68
Jamaica,St. Albans,45401.31695,77412748.11
North Shore,Stapleton-Rosebank,55208.93697,46432646.33
East New York/Starrett City,Starrett City,17414.78242,11598952.32
Stuyvesant Town/Turtle Bay,Steinway,,
North Crown Heights/Prospect Heights,Stuyvesant Heights,28239.08077,31406935.85
Stuyvesant Town/Turtle Bay,Stuyvesant Town-Cooper Village,12021.7903,5582283.016
Sunset Park,Sunset Park East,25901.82576,27110066.46
Sunset Park,Sunset Park West,83323.50607,49990015.98
Mid-Island,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,75942.00256,184881509.1
Stuyvesant Town/Turtle Bay,Turtle Bay-East Midtown,21124.05419,17389163.83
University Heights/Fordham,University Heights-Morris Heights,24100.43204,21255485.46
Upper East Side,Upper East Side-Carnegie Hill,23778.41052,20065364.18
Upper West Side,Upper West Side,29160.20628,34379942.5
Riverdale/Kingsbridge,Van Cortlandt Village,21945.71998,25666125.03
Pelham Parkway,Van Nest-Morris Park-Westchester Square,42870.3928,36302379.26
Washington Heights/Inwood,Washington Heights North,26683.66327,22667347.41
Washington Heights/Inwood,Washington Heights South,22106.42365,23092823.98
North Shore,West Brighton,14113.58137,8738769.003
Highbridge/South Concourse,West Concourse,28499.04464,19379817.36
Morrisania/Belmont,West Farms-Bronx River,17477.29476,15084986.18
North Shore,West New Brighton-New Brighton-St. George,66054.25148,56030445.13
Greenwich Village/Financial District,West Village,28621.65099,24970650.17
Soundview/Parkchester,Westchester-Unionport,26557.40933,23945209.78
North Shore,Westerleigh,41658.09708,63253932.17
Flushing/Whitestone,Whitestone,,
Williamsbridge/Baychester,Williamsbridge-Olinville,27351.07767,36273595.38
Williamsburg/Greenpoint,Williamsburg,16874.43385,11589988.14
Sunset Park,Windsor Terrace,19033.67173,14041668.07
Ozone Park/Woodhaven,Woodhaven,28067.66447,37000431.4
Williamsbridge/Baychester,Woodlawn-Wakefield,38694.04071,39738786.39
Sunnyside/Woodside,Woodside,27868.19034,28248218.67
Upper East Side,Yorkville,17998.72085,13602064.14
